"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.351524000E-3,6.497907639E-2,-4.571561813E-1,-9.453165531E-2,4.713282172E-1
2.648819100E-2,4.100577831E-1,-5.519599915E-1,5.649121404E-1,8.899061434E-1
4.562485800E-2,6.293454170E-1,-7.825126648E-1,1.027319729E-1,1.009433298E0
6.476142000E-2,-1.030874252E-2,-9.129810333E-1,-1.563501239E0,1.810573600E0
8.389808700E-2,-5.283894539E-1,-8.550786972E-1,-4.177083075E-1,1.088501366E0
1.030347540E-1,-7.660055161E-2,2.669153214E-1,3.259455860E-1,4.281961680E-1
1.221714200E-1,-2.808642387E-2,8.659286499E-1,1.452593505E-1,8.784768368E-1
1.413080870E-1,-5.811138153E-1,1.930606842E0,-6.608162522E-1,2.121700772E0
1.604446490E-1,-5.814201832E-1,1.716678619E0,-4.297243059E-1,1.862712509E0
1.795813160E-1,-3.728647232E-1,-8.798303604E-1,-9.059271812E-1,1.316751162E0
1.987179830E-1,2.896764278E-1,-4.624319077E-1,3.685246110E-1,6.584573570E-1
2.178546490E-1,2.394187450E-1,-1.697225571E-1,-1.683548838E-1,3.383348175E-1
2.369913160E-1,-5.357384682E-2,-1.543712616E-2,8.466839790E-3,5.639281251E-2
2.561279830E-1,5.513062477E-1,-5.954608917E-1,5.104649067E-2,8.130916286E-1
2.752645450E-1,2.337331772E-1,-6.991090775E-1,-6.752482653E-1,9.996724064E-1
2.944012120E-1,-4.070472717E-1,-1.674126148E0,1.833363771E-1,1.732627504E0
3.135378790E-1,-1.260042191E-2,-2.238801956E0,-9.494762123E-2,2.240849843E0
3.326745450E-1,-6.880246401E-1,-2.298044205E0,2.021357417E-3,2.398830790E0
3.518112120E-1,-9.563960433E-1,-2.324184895E0,-2.969455123E-1,2.530751954E0
3.709478790E-1,-6.183809042E-1,-2.772732735E0,-3.768877089E-1,2.865743552E0
3.900844410E-1,-1.260403752E0,-2.864647865E0,-1.214041829E0,3.356891803E0
4.092211080E-1,-8.676383495E-1,1.765787125E0,8.613560200E-1,2.147727792E0
4.283577740E-1,-3.517705202E-2,3.992545128E0,1.523583174E0,4.273518423E0
4.474944410E-1,7.544445992E-2,3.265769005E0,-8.815252781E-2,3.267829544E0
4.666177740E-1,-6.465380192E-1,6.456375122E-3,-6.305160522E-1,9.031077384E-1
4.857677740E-1,-1.588228941E0,-1.588413239E0,-1.652237773E-2,2.246285996E0
5.048910040E-1,-1.136367679E0,1.207032204E0,3.447996080E-1,1.693264602E0
5.240410040E-1,6.782429218E-1,3.034286499E0,1.900706589E-1,3.114969482E0
5.431776700E-1,1.659301043E0,3.143967628E0,-2.913743854E-1,3.566891004E0
5.623143370E-1,1.735589743E0,2.553890228E0,-5.288630128E-1,3.132782013E0
