"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.330700636E0,4.480136395E0,-2.204649925E0,5.167481745E0
1.324423500E-2,-2.101914883E-1,5.540143490E0,-3.554276228E-1,5.555510701E0
3.237923500E-2,-1.702649117E0,4.024195671E0,-1.454635382E0,4.605337003E0
5.151423500E-2,-8.191668987E-1,3.905907154E0,1.492411494E-1,3.993672248E0
7.064923500E-2,-4.131702185E-1,2.408973217E0,-4.664081931E-1,2.488252036E0
8.977090200E-2,-8.482876420E-2,7.764463425E-1,-1.179867029E0,1.414973869E0
1.089192350E-1,1.577237129E0,-4.771528244E-1,-2.468480468E-1,1.666218995E0
1.280542350E-1,3.350602150E0,5.258998871E-1,-4.068104029E-1,3.415933278E0
1.471759020E-1,7.398713589E0,2.428474426E-1,1.811236382E0,7.621057333E0
1.663242350E-1,8.159543991E0,-1.713783264E0,1.339655042E0,8.444518154E0
1.854592350E-1,3.859118938E0,1.204342842E0,-2.621009111E0,4.817979807E0
2.045809020E-1,-1.337101460E-1,4.795310974E0,3.882166862E0,6.171232072E0
2.237292350E-1,4.011272907E0,1.422133446E0,8.958364487E0,9.917916523E0
2.428642350E-1,3.630108595E0,3.986822128E0,6.021251202E0,8.082567978E0
2.619859020E-1,1.108860016E0,7.514635086E0,2.388097048E0,7.962557285E0
2.811342350E-1,-2.704225540E0,-1.368484688E1,3.273046017E-1,1.395331495E1
3.002692350E-1,-5.371470928E0,-4.033866501E1,1.754405022E0,4.073252425E1
3.193910060E-1,-6.494550705E0,-2.029890060E1,-6.847612381E0,2.238558353E1
3.385393400E-1,-4.480411530E0,-6.551059723E0,-5.464760780E0,9.636082262E0
3.576743400E-1,-1.199698925E0,-1.122755051E0,-2.912062645E0,3.343645505E0
3.767960060E-1,1.738822341E0,-8.053398132E-2,-4.302149773E0,4.640956962E0
3.959443400E-1,3.767093420E0,-1.154336929E-1,-3.496477604E0,5.140979810E0
4.150793400E-1,3.503934860E0,4.130544662E-1,-2.455690861E0,4.298673179E0
4.342144440E-1,2.681059122E0,7.193651199E-1,-1.179457188E0,3.016070863E0
4.533361100E-1,2.067400217E0,2.041771889E0,3.244156837E0,4.355172751E0
4.724844440E-1,7.409415841E-1,3.416007519E0,4.116182804E0,5.400098395E0
4.916062150E-1,3.286086321E-1,3.804204941E0,1.366101027E0,4.055390349E0
5.107545480E-1,-3.112700582E-1,5.507188320E0,1.098143339E0,5.624227150E0
5.298762150E-1,-9.746026248E-2,8.066206932E0,-5.371408463E-1,8.084659119E0
5.490245480E-1,-7.017751038E-2,9.222385406E0,-9.887890816E-1,9.275506526E0
5.681596520E-1,3.993406296E-1,9.063002586E0,-1.926988125E0,9.274199267E0
5.872946520E-1,9.174525738E-1,7.393086433E0,7.543781996E-1,7.487892407E0
6.064164230E-1,2.287477255E0,2.764095306E0,3.285579681E0,4.864957235E0
6.255647560E-1,5.378566742E0,-4.736432076E0,6.366022110E0,9.585875365E0
6.446997560E-1,2.417694330E0,-1.310862637E1,4.611692429E0,1.410492957E1
6.638215270E-1,5.073602200E-1,-1.177179813E1,6.074492931E-1,1.179837448E1
6.829698600E-1,-1.788954020E0,-6.606759071E0,-3.363703251E0,7.626540597E0
7.021049650E-1,-4.718370438E0,-1.183365536E1,-6.207982063E0,1.417171338E1
7.212266310E-1,-5.672022343E0,-6.230561256E0,-5.033144474E0,9.814493075E0
7.403750690E-1,-4.567660332E0,2.298748493E0,-1.174339771E0,5.246602657E0
7.595100690E-1,-3.412483454E0,4.913440228E0,8.489146233E-1,6.042151457E0
7.786318400E-1,-2.576346159E0,4.593448639E-1,1.751720905E-1,2.622831008E0
7.977801730E-1,-2.321663141E0,-5.277921677E0,-2.111515999E0,6.140445976E0
8.169152770E-1,-3.274278164E0,-6.180734634E0,-1.635080934E0,7.183026366E0
8.360502770E-1,-3.105409861E0,-1.923849106E0,1.117003679E0,3.820008247E0
8.551853810E-1,-1.264498830E0,1.438862801E0,1.570657372E0,2.477145137E0
8.743070480E-1,-1.917077303E-1,3.568705559E0,1.754465461E0,3.981276211E0
8.934554850E-1,4.277625084E-1,4.903857231E0,2.164732456E0,5.377440201E0
9.125905900E-1,8.276621103E-1,5.637404442E0,1.476354480E0,5.885998298E0
9.317255900E-1,8.619193435E-1,6.682189941E0,1.866879463E-1,6.740134995E0
9.508606940E-1,7.908495069E-1,7.563706398E0,-2.004100680E-1,7.607579222E0
9.699957980E-1,1.010683775E-1,7.720571518E0,-1.513004303E-2,7.721247846E0
9.891307980E-1,-8.456313610E-2,6.143704414E0,1.690884590E0,6.372703159E0
1.008252569E0,1.217594981E0,3.528528690E0,1.360375285E0,3.972867123E0
1.027401006E0,1.214052677E0,2.077897549E0,1.378592014E0,2.773463190E0
1.046536006E0,9.277528524E-1,1.858301163E-1,3.676198959E0,3.796010666E0
1.065657777E0,7.379096746E-1,-1.656538010E0,3.861388206E0,4.266022474E0
1.084806215E0,1.660114527E0,-4.262889862E0,3.989365578E0,6.069863914E0
1.103941215E0,3.668049574E0,-6.091450691E0,4.260806084E0,8.289440734E0
1.123076319E0,4.968404770E0,-6.342346191E0,3.570142269E0,8.812282167E0
1.142211423E0,5.667081833E0,-4.599941254E0,2.355623484E0,7.669696085E0
1.161333194E0,6.323637486E0,-2.923645020E0,-8.088097572E-1,7.013577152E0
1.180481631E0,3.573039055E0,3.246202469E-1,-1.962781429E0,4.089559552E0
1.199616631E0,-9.916744232E-1,9.294872284E-1,-2.612282515E0,2.944721482E0
1.218738402E0,-3.568266392E0,-7.266178131E-1,-6.339108944E0,7.310595098E0
1.237886840E0,-4.490844727E0,-2.448690414E0,-8.863708496E0,1.023372363E1
1.257021944E0,-4.684592247E0,-5.812808037E0,-4.528367996E0,8.731566784E0
1.276143715E0,-4.921599388E0,-9.861958504E0,-7.389855385E-2,1.102206093E1
1.295292152E0,-5.344954491E0,-8.300759315E0,-1.882927775E0,1.005069951E1
1.314413819E0,-3.143017292E0,-3.108187675E0,-3.072818756E0,5.383456458E0
1.333562256E0,6.402992010E-1,-1.540119171E0,-2.738460541E0,3.206417980E0
1.352697360E0,2.784603596E0,3.001565456E0,-7.285789251E-1,4.158634346E0
1.371819131E0,3.825196266E0,5.457427979E0,-7.199168205E-2,6.664895304E0
1.390967569E0,3.710968494E0,6.561388016E0,1.989145041E0,7.796139933E0
1.410102673E0,2.989414930E0,7.926575184E0,1.984395027E0,8.700863141E0
1.429237777E0,1.979691386E0,8.299210548E0,5.171984434E-1,8.547722968E0
1.448372881E0,1.291627288E0,8.474821091E0,-3.583478928E-2,8.572757882E0
1.467507985E0,3.176001310E-1,8.879175186E0,9.142596722E-1,8.931768726E0
1.486629756E0,5.695803761E-1,7.010058403E0,3.131649017E0,7.698867851E0
1.505778194E0,1.042710185E0,3.345341206E0,2.230080366E0,4.153529915E0
1.524913298E0,2.593735933E0,-1.966896057E-1,-7.451001406E-1,2.705795098E0
