"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.773249992E-3,-8.570052313E0,-5.267758920E0,-6.154759315E0,1.179305486E1
1.778225000E-2,-7.589128093E0,-1.723251051E0,-6.580384867E-1,7.810087966E0
2.779024999E-2,-5.859598886E0,1.155065997E0,-1.610542461E-2,5.972381095E0
3.779925000E-2,-4.836125062E0,3.713026963E0,-2.513704853E-1,6.102283340E0
4.780725000E-2,-3.696512964E0,5.179650151E0,7.670987065E-1,6.409479246E0
5.781625000E-2,-2.109563141E0,5.504943037E0,1.673321969E0,6.128185775E0
6.782425000E-2,-4.090522036E-1,5.302088508E0,2.319811182E0,5.801809215E0
7.783324999E-2,1.272857279E0,5.137143817E0,3.191443925E0,6.180269134E0
8.784125000E-2,2.821028076E0,4.855420874E0,4.466513498E0,7.175169272E0
9.785024999E-2,3.248028015E0,4.975444331E0,5.004807293E0,7.768708279E0
1.078582500E-1,2.768810101E0,5.799563769E0,4.625373576E0,7.918038267E0
1.178672500E-1,1.836961269E0,6.633222939E0,4.482351558E0,8.213741459E0
1.278752500E-1,5.687095499E-1,7.407138768E0,4.011833424E0,8.442981861E0
1.378842500E-1,-8.437005937E-1,8.140387212E0,3.446974558E0,8.880279740E0
1.478922500E-1,-2.002888293E0,8.638205119E0,3.062775067E0,9.381403963E0
1.579012500E-1,-2.679910496E0,8.970456777E0,2.560494565E0,9.706036651E0
1.679092500E-1,-3.293634251E0,9.330244727E0,1.183579359E0,9.965056615E0
1.779182500E-1,-4.218081677E0,9.054893494E0,-7.731945750E-1,1.001903883E1
1.879262500E-1,-5.148453501E0,8.053471860E0,-2.118640212E0,9.790486137E0
1.979352500E-1,-5.549777148E0,7.274343823E0,-2.177755416E0,9.405249762E0
2.079432500E-1,-5.109985254E0,6.633535180E0,-1.811102397E0,8.567136638E0
2.179522500E-1,-4.234799451E0,6.110177804E0,-9.512320590E-1,7.494841000E0
2.279602500E-1,-3.259763669E0,5.626072202E0,2.168217731E-1,6.505825027E0
2.379692500E-1,-2.254211269E0,5.002383038E0,1.472890380E0,5.681083574E0
2.479772500E-1,-1.465012865E0,4.237073141E0,1.988118226E0,4.904249746E0
2.579862500E-1,-7.489461717E-1,3.461078042E0,9.555088587E-1,3.667830252E0
2.679942500E-1,4.289888701E-1,3.010430793E0,-1.037961470E0,3.213112046E0
2.780032500E-1,1.927806535E0,2.837720414E0,-2.447377547E0,4.214113435E0
2.880112500E-1,3.184573739E0,2.241378093E0,-3.212289541E0,5.048176873E0
2.980202500E-1,3.869079793E0,1.132807986E0,-3.301171604E0,5.210639724E0
3.080282500E-1,4.001697860E0,-1.474363732E-1,-2.820668764E0,4.898111424E0
3.180372500E-1,3.726605952E0,-1.489198703E0,-1.727047356E0,4.368981262E0
3.280452500E-1,3.413272376E0,-2.792506819E0,-1.068450606E0,4.537632571E0
3.380542500E-1,2.927485700E0,-3.878636482E0,-1.943387319E0,5.233617081E0
3.480622500E-1,1.901597853E0,-3.916171514E0,-4.020257215E0,5.925786175E0
3.580712500E-1,7.552480084E-1,-2.525928749E0,-5.836832167E0,6.404633116E0
