"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.367708302E-3,-9.644767041E0,1.893567579E0,1.690599614E0,9.973226986E0
1.837370830E-2,-9.391686684E0,1.480487521E0,2.215285478E0,9.762331270E0
2.838070830E-2,-8.691969098E0,8.567749679E-1,1.201295253E0,8.816320118E0
3.838770831E-2,-5.505910167E0,-4.872262609E-1,3.671642125E-1,5.539607003E0
4.839370830E-2,-1.282179202E0,-2.086247368E0,3.393478382E-1,2.472158681E0
5.840070831E-2,1.663225582E0,-2.752466841E0,1.725287637E0,3.649521952E0
6.840770831E-2,2.501961012E0,-2.016149778E0,3.269848947E0,4.584384470E0
7.841370831E-2,3.041123705E0,-9.013360137E-1,3.743644738E0,4.906701124E0
8.842070831E-2,4.485418423E0,-2.191010177E-1,4.029120424E0,6.033307143E0
9.842770832E-2,5.434285283E0,-4.569604880E-1,3.990360401E0,6.757458513E0
1.084337083E-1,5.037259340E0,-9.981735063E-1,3.490124086E0,6.208969169E0
1.184407083E-1,3.469476105E0,-1.006965380E0,2.397972960E0,4.336071729E0
1.284467083E-1,2.742935295E0,-7.561753768E-1,1.345242593E0,3.147248459E0
1.384537083E-1,2.067091305E0,-4.283196563E-1,2.804546090E-1,2.129549009E0
1.484607083E-1,1.533316676E0,5.683376670E-2,-3.444564774E-1,1.572558543E0
1.584667083E-1,8.602291375E-1,4.571341503E-1,-8.041682996E-1,1.263191377E0
1.684737083E-1,4.018792780E-1,6.850393206E-1,-9.471610813E-1,1.236082497E0
1.784807083E-1,2.590165968E-1,7.349944228E-1,-8.902648956E-1,1.183164394E0
1.884867083E-1,2.580692748E-1,6.540069777E-1,-8.939498109E-1,1.137308728E0
1.984937083E-1,2.189009698E-1,5.565087497E-1,-7.867879627E-1,9.882585296E-1
2.084997083E-1,1.435131839E-1,2.823187745E-1,-5.885281026E-1,6.683301968E-1
2.185067083E-1,-2.121928248E-1,2.203230858E-2,-9.807539199E-1,1.003687934E0
2.285137083E-1,-6.335415767E-1,-3.553545910E-1,-1.994746045E0,2.122890388E0
2.385197083E-1,-8.010809697E-1,-6.532111716E-1,-2.938082024E0,3.114601344E0
2.485267083E-1,-6.607383654E-1,-6.113386756E-1,-2.869492430E0,3.007373766E0
2.585337083E-1,-3.978226990E-1,-1.597476858E-1,-1.840819701E0,1.890079203E0
2.685397083E-1,-5.855752587E-2,4.470360088E-1,-7.373857878E-1,8.642962323E-1
2.785467083E-1,3.873358639E-1,1.006321601E0,-8.635007277E-2,1.081743302E0
2.885537083E-1,9.288612697E-1,1.411327239E0,2.493311226E-1,1.707862361E0
2.985597083E-1,1.510629187E0,1.662100285E0,6.059317553E-1,2.326312789E0
3.085667084E-1,1.994326507E0,1.741880865E0,8.919369069E-1,2.794107838E0
3.185727083E-1,2.336976707E0,1.565242912E0,1.152361659E0,3.039635323E0
3.285797084E-1,2.341768061E0,1.110709019E0,1.115292066E0,2.821600356E0
3.385867083E-1,2.065376902E0,3.090136528E-1,6.167599216E-1,2.177536219E0
3.485927084E-1,1.760010596E0,-6.604377455E-1,-4.293360485E-1,1.928249142E0
3.585997083E-1,1.657805067E0,-1.586313354E0,-1.758410651E0,2.890798456E0
